SMI_ID,SMILES,SCAFFOLD_SMILES,SCAFFOLD_ID
SMI_14457E6252,Cc1ncc(COC2OC(CO)C(O)C(O)C2O)c(CO)c1O.O,c1cncc(COC2CCCCO2)c1,SCF_5D28D26ADD
SMI_663940F663,OCC1OC(Oc2ccc3cc(Br)ccc3c2)C(O)C(O)C1O,c1ccc2cc(OC3CCCCO3)ccc2c1,SCF_9A70C85B8A
SMI_16A34AFF01,OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,C1CCC(OCC2CCCC(OCC3CCCC(OC4CCCO4)O3)O2)OC1,SCF_B087EB198D
SMI_0A48A0DC8F,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,C1CCC(OCC2CCCC(OC3CCCO3)O2)OC1,SCF_5AE92CC39E
SMI_D4B22A3B3E,O=[N+]([O-])c1cccc(OC2OC(CO)C(O)C(O)C2O)c1,c1ccc(OC2CCCCO2)cc1,SCF_1072FBC11C
SMI_294F16C7DD,Cc1cccc(OC2OC(CO)C(O)C(O)C2O)c1.O,c1ccc(OC2CCCCO2)cc1,SCF_1072FBC11C
SMI_275B6A72B5,O.O=[N+]([O-])c1ccccc1OC1OC(CO)C(O)C(O)C1O,c1ccc(OC2CCCCO2)cc1,SCF_1072FBC11C
SMI_B5DD1693B1,COC1OC(CO)C(O)C(O)C1O.O,C1CCOCC1,SCF_66AB85A70A
SMI_EC3D6B1FEE,O.O=C(O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,C1CCOCC1,SCF_66AB85A70A
SMI_DB2F5E47E6,O.OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,C1CCC(OC2CCOC2)OC1,SCF_CBB5DD0231
SMI_A956297D50,O.OCC1OC(OC2(COC3(CO)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,C1CCC(OC2(COC3CCCO3)CCCO2)OC1,SCF_89F9ADCDE2
SMI_F626B1DCDA,O=C(O)C1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,SCF_4B298A8A8A
SMI_0CDD8133A4,Cc1cc(=O)oc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc12,O=c1ccc2ccc(OC3CCCCO3)cc2o1,SCF_096B2D52FD
SMI_6C6E6DC1A7,O=C(O)C1OC(Oc2ccc(-c3oc4cc(O)cc(O)c4c(=O)c3O)cc2O)C(O)C(O)C1O,O=c1cc(-c2ccc(OC3CCCCO3)cc2)oc2ccccc12,SCF_4728B73377
SMI_389304EEC3,O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,SCF_4B298A8A8A
SMI_2CE01BD69B,O=C(O)C1OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)C(O)C(O)C1O,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,SCF_BDA26CE8D6
SMI_CE206CE488,*O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O.O,C1CCOCC1,SCF_66AB85A70A
SMI_D5D88A78E6,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C12,SCF_6F8A7714C2
SMI_45C39F8D9D,O.O=[N+]([O-])c1ccc(OC2OCC(O)C(O)C2O)cc1[N+](=O)[O-],c1ccc(OC2CCCCO2)cc1,SCF_1072FBC11C
SMI_93CA36ABFB,O.O=[N+]([O-])c1ccccc1OC1OCC(O)C(O)C1O,c1ccc(OC2CCCCO2)cc1,SCF_1072FBC11C
SMI_8B016D4385,O.O=[N+]([O-])c1cccc(OC2OCC(O)C(O)C2O)c1,c1ccc(OC2CCCCO2)cc1,SCF_1072FBC11C
SMI_D55A40A744,Cc1cc(=O)oc2cc(OC3OCC(O)C(O)C3O)ccc12.O,O=c1ccc2ccc(OC3CCCCO3)cc2o1,SCF_096B2D52FD
SMI_E00CC13045,O.O=CC(O)C(O)C(CO)OC1OCC(O)C(O)C1O,C1CCOCC1,SCF_66AB85A70A
SMI_1947EFD4AA,O.OC1COC(OC2COC(OC3COC(O)C(O)C3O)C(O)C2O)C(O)C1O,C1CCC(OC2CCC(OC3CCCOC3)OC2)OC1,SCF_333722F137
SMI_B9F05A7029,O.OC1COC(OC2COC(OC3COC(OC4COC(O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C1O,C1CCC(OC2CCC(OC3CCC(OC4CCCOC4)OC3)OC2)OC1,SCF_DF011B6E93
SMI_C117157679,O.O=CC(O)C(O)C(CO)OC1OCC(OC2OCC(OC3OCC(OC4OCC(O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C1O,C1CCC(OC2CCC(OC3CCC(OC4CCCOC4)OC3)OC2)OC1,SCF_DF011B6E93
